"","Region","Scenario","Functional Group","Effect Size","Lower CI","Upper CI"
"1","Brazil","SSP1-2.6","End. Herbivores",0.14498730648822,0.122053353830243,0.168462666353664
"2","Brazil","SSP1-2.6","End. Carnivores",0.00892144225013158,-0.0212168841215554,0.0388749546651468
"3","Brazil","SSP1-2.6","End. Omnivores",0.119867182949362,0.055349899435142,0.183566620648823
"4","Brazil","SSP1-2.6","Ect. Herbivores",-0.735072474633636,-0.842874503690505,-0.627467084357902
"5","Brazil","SSP1-2.6","Ect. Carnivores",-1.11557851232943,-1.16164254115043,-1.06954822641372
"6","Brazil","SSP1-2.6","Ect. Omnivores",-0.506538605961759,-0.56202007195969,-0.45035017919528
"7","Brazil","SSP1-2.6","Overall Biomass",-0.264543912172743,-0.292833830058425,-0.235242575201078
"8","Brazil","SSP5-8.5","End. Herbivores",0.0230925059621523,0.000805064995379468,0.0454823947851235
"9","Brazil","SSP5-8.5","End. Carnivores",-0.340664691164605,-0.366796038742345,-0.313771767631288
"10","Brazil","SSP5-8.5","End. Omnivores",-0.1892611945845,-0.250093870863566,-0.127265533149612
"11","Brazil","SSP5-8.5","Ect. Herbivores",-2.8902656393571,-3.00304805903526,-2.77862136441763
"12","Brazil","SSP5-8.5","Ect. Carnivores",-3.33283152769805,-3.37471974387479,-3.2912318368657
"13","Brazil","SSP5-8.5","Ect. Omnivores",-2.07390420095003,-2.14085723783117,-2.00615342918274
"14","Brazil","SSP5-8.5","Overall Biomass",-1.14976622619766,-1.17957684345968,-1.11904036599076
"15","Namibia","SSP1-2.6","End. Herbivores",-0.10879902920059,-0.148823806546583,-0.0696279348247342
"16","Namibia","SSP1-2.6","End. Carnivores",-0.86306339970541,-1.04937502764888,-0.674070399817772
"17","Namibia","SSP1-2.6","End. Omnivores",0.041570197738805,-0.00382717021312207,0.0863877609404984
"18","Namibia","SSP1-2.6","Ect. Herbivores",-3.7478581973362,-3.9026199885635,-3.59183872656683
"19","Namibia","SSP1-2.6","Ect. Carnivores",-1.06523383896066,-1.2212982938639,-0.909960770741236
"20","Namibia","SSP1-2.6","Ect. Omnivores",-0.447672960885015,-0.608759110715784,-0.2823158005958
"21","Namibia","SSP1-2.6","Overall Biomass",-0.866880222053268,-0.939659978316798,-0.793427100341249
"22","Namibia","SSP5-8.5","End. Herbivores",-0.492289197331042,-0.546546882574217,-0.438506650907722
"23","Namibia","SSP5-8.5","End. Carnivores",-2.14014879873612,-2.31900997577478,-1.95786760338481
"24","Namibia","SSP5-8.5","End. Omnivores",-0.157952026964214,-0.209787984766208,-0.108473464487446
"25","Namibia","SSP5-8.5","Ect. Herbivores",-5.55521908599184,-5.80973226540002,-5.31028668040858
"26","Namibia","SSP5-8.5","Ect. Carnivores",-3.11562762743249,-3.2664946552351,-2.96853641814859
"27","Namibia","SSP5-8.5","Ect. Omnivores",-7.15596694703798,-7.35864853293643,-6.94681056757729
"28","Namibia","SSP5-8.5","Overall Biomass",-2.13448992879656,-2.22611534309816,-2.04314804738692
"29","France","SSP1-2.6","End. Herbivores",-0.302229895862316,-0.388466813225719,-0.217990709400351
"30","France","SSP1-2.6","End. Carnivores",-0.887903550429658,-1.11526959121374,-0.664560895613286
"31","France","SSP1-2.6","End. Omnivores",-0.170904106621583,-0.309991588910441,-0.0289815861338916
"32","France","SSP1-2.6","Ect. Herbivores",-0.978464385883981,-1.72001216052826,-0.212952162869795
"33","France","SSP1-2.6","Ect. Carnivores",-0.334550763032582,-0.860873873405521,0.193817795348017
"34","France","SSP1-2.6","Ect. Omnivores",-3.58848413427875,-4.20957909731736,-2.94034371101376
"35","France","SSP1-2.6","Overall Biomass",-0.47294068111402,-0.54411242385094,-0.403164119212374
"36","France","SSP5-8.5","End. Herbivores",-0.265493461395283,-0.344430108848393,-0.184705400382401
"37","France","SSP5-8.5","End. Carnivores",-0.648322835720005,-0.87362357387486,-0.431179410183857
"38","France","SSP5-8.5","End. Omnivores",0.240022722215349,0.107454169807975,0.375732034498699
"39","France","SSP5-8.5","Ect. Herbivores",-7.4239981581249,-8.17587907852974,-6.66821921861297
"40","France","SSP5-8.5","Ect. Carnivores",-2.55884415236528,-3.06810129433674,-2.04847761998747
"41","France","SSP5-8.5","Ect. Omnivores",-6.76305421999821,-7.33380056281145,-6.19730237035902
"42","France","SSP5-8.5","Overall Biomass",-0.647878407547975,-0.715063910450409,-0.580224281479835
"43","Finland","SSP1-2.6","End. Herbivores",0.123671228107036,-0.154818929253153,0.403741434484073
