"","Region","Scenario","Functional Group","Effect Size","Lower CI","Upper CI"
"1","Brazil","Historical","End. Herbivores",0.222699966715356,0.199914243318222,0.246446971513192
"2","Brazil","Historical","End. Carnivores",0.0852502313509529,0.0509160671659847,0.120490611629975
"3","Brazil","Historical","End. Omnivores",-0.69210116061712,-0.765889448016577,-0.618067031598779
"4","Brazil","Historical","Ect. Herbivores",-1.70132074302449,-1.84152683009435,-1.563906594475
"5","Brazil","Historical","Ect. Carnivores",-0.579992896990855,-0.628762540780525,-0.531519101647937
"6","Brazil","Historical","Ect. Omnivores",-1.20640524991589,-1.25857868788598,-1.15120730790477
"7","Brazil","Historical","Overall Biomass",-0.584405571303948,-0.617124655723533,-0.55126826896662
"8","Brazil","SSP1-2.6","End. Herbivores",0.333546743691548,0.306196889808774,0.360649296766669
"9","Brazil","SSP1-2.6","End. Carnivores",0.259363913936594,0.228779635345711,0.290029035787853
"10","Brazil","SSP1-2.6","End. Omnivores",-0.703757574781394,-0.766951132685678,-0.641648372192916
"11","Brazil","SSP1-2.6","Ect. Herbivores",-0.767842428572618,-0.870384782394784,-0.666360285510503
"12","Brazil","SSP1-2.6","Ect. Carnivores",-0.463403044195965,-0.50170833729406,-0.423617150138678
"13","Brazil","SSP1-2.6","Ect. Omnivores",-2.27020922893937,-2.33832851178983,-2.20156663258634
"14","Brazil","SSP1-2.6","Overall Biomass",-0.53238715913162,-0.55873290249715,-0.505437384535135
"15","Brazil","SSP5-8.5","End. Herbivores",0.600576618927806,0.58080293666618,0.620028296227471
"16","Brazil","SSP5-8.5","End. Carnivores",0.324901467488603,0.301301906489848,0.348494816329858
"17","Brazil","SSP5-8.5","End. Omnivores",-0.501130622761237,-0.553200903527973,-0.447809486426165
"18","Brazil","SSP5-8.5","Ect. Herbivores",-0.157460613504712,-0.256605520573927,-0.0591871833059421
"19","Brazil","SSP5-8.5","Ect. Carnivores",-0.232116553324058,-0.268215227007929,-0.195563025210477
"20","Brazil","SSP5-8.5","Ect. Omnivores",-2.18837314745418,-2.25870865870019,-2.11824463073407
