"","Region","Scenario","Functional Group","Effect Size","Lower CI","Upper CI"
"1","Brazil","Historical","End. Herbivores",-2.35759786665538,-2.37518389176196,-2.33944840366349
"2","Brazil","Historical","End. Carnivores",-6.8536683091621,-6.88072959176076,-6.82596108946862
"3","Brazil","Historical","End. Omnivores",-3.31776231988709,-3.37526229772291,-3.26146629644163
"4","Brazil","Historical","Ect. Herbivores",-7.17403421869046,-7.28475452379674,-7.06356125737331
"5","Brazil","Historical","Ect. Carnivores",-4.96772437183914,-5.00156815899396,-4.93364726471046
"6","Brazil","Historical","Ect. Omnivores",-10.7531637906389,-10.7960138006209,-10.7108498858954
"7","Brazil","Historical","Overall Biomass",-4.7090242762134,-4.73206114876978,-4.68561283105795
"8","Brazil","SSP1-2.6","End. Herbivores",-2.52350853459231,-2.54421088290772,-2.50298198310651
"9","Brazil","SSP1-2.6","End. Carnivores",-7.30247013787177,-7.32501912004219,-7.27939689137208
"10","Brazil","SSP1-2.6","End. Omnivores",-3.39049513490141,-3.4342555579683,-3.34608992231027
"11","Brazil","SSP1-2.6","Ect. Herbivores",-9.35992272905455,-9.42171294369482,-9.2983800674539
"12","Brazil","SSP1-2.6","Ect. Carnivores",-5.23347946945842,-5.25785610470085,-5.20992637416311
"13","Brazil","SSP1-2.6","Ect. Omnivores",-9.03175100340238,-9.08262618980101,-8.97967104954699
"14","Brazil","SSP1-2.6","Overall Biomass",-4.66780101458777,-4.68729473008689,-4.64841114368824
"15","Brazil","SSP5-8.5","End. Herbivores",-2.72014258044081,-2.73298651766056,-2.70699473405678
"16","Brazil","SSP5-8.5","End. Carnivores",-7.6126677639795,-7.63252974332572,-7.59172869208571
"17","Brazil","SSP5-8.5","End. Omnivores",-3.67245390661567,-3.70474542840985,-3.63927749303099
"18","Brazil","SSP5-8.5","Ect. Herbivores",-2.30427341899053,-2.3721912859056,-2.23464853047397
"19","Brazil","SSP5-8.5","Ect. Carnivores",-5.5597364741543,-5.58719842465215,-5.53275410427055
"20","Brazil","SSP5-8.5","Ect. Omnivores",-5.14053024364428,-5.18381393827232,-5.09684895932505
"21","Brazil","SSP5-8.5","Overall Biomass",-3.43672671074973,-3.45220526590325,-3.4208797007443
"22","Namibia","Historical","End. Herbivores",-3.43983587659775,-3.49694093550763,-3.38406274345674
"23","Namibia","Historical","End. Carnivores",-14.4468450889892,-14.569343755295,-14.3252568236233
"24","Namibia","Historical","End. Omnivores",-20.4716183997335,-20.5313700786943,-20.4123822511768
"25","Namibia","Historical","Ect. Herbivores",-3.10724684414365,-3.20628996326934,-3.00806051989144
"26","Namibia","Historical","Ect. Carnivores",-4.33682432679642,-4.46422538649427,-4.20654174279789
"27","Namibia","Historical","Ect. Omnivores",-4.8556349541304,-4.95538515569127,-4.75448465768518
"28","Namibia","Historical","Overall Biomass",-4.70038345623125,-4.75791819078658,-4.64209435570381
"29","Namibia","SSP1-2.6","End. Herbivores",-5.71596662557898,-5.77854494721872,-5.65401369690212
"30","Namibia","SSP1-2.6","End. Carnivores",NA,NA,NA
"31","Namibia","SSP1-2.6","End. Omnivores",NA,NA,NA
"32","Namibia","SSP1-2.6","Ect. Herbivores",0.384170847066212,0.265564478896652,0.507162006458972
"33","Namibia","SSP1-2.6","Ect. Carnivores",-5.47881134146103,-5.57044212904312,-5.38757871036942
"34","Namibia","SSP1-2.6","Ect. Omnivores",-4.4501647521848,-4.57573379112868,-4.32604593194093
"35","Namibia","SSP1-2.6","Overall Biomass",-5.1644002232824,-5.2272610151716,-5.10121676186993
"36","Namibia","SSP5-8.5","End. Herbivores",-20.4692022995941,-20.5454274396411,-20.3959083516745
"37","Namibia","SSP5-8.5","End. Carnivores",NA,NA,NA
"38","Namibia","SSP5-8.5","End. Omnivores",NA,NA,NA
"39","Namibia","SSP5-8.5","Ect. Herbivores",-0.793897906810015,-1.00996582263831,-0.577314242548088
"40","Namibia","SSP5-8.5","Ect. Carnivores",-18.0272049440089,-18.1147145235834,-17.9404334562811
"41","Namibia","SSP5-8.5","Ect. Omnivores",-2.05856363783696,-2.24381945721097,-1.88205347508656
"42","Namibia","SSP5-8.5","Overall Biomass",-9.03605849668696,-9.11706084245836,-8.95147049200592
"43","France","Historical","End. Herbivores",-3.46268917113874,-3.51172972606251,-3.4120662268987
"44","France","Historical","End. Carnivores",-8.44781271352385,-8.57321637562853,-8.32125168142979
"45","France","Historical","End. Omnivores",-5.32431527030703,-5.4112560596887,-5.23966398438633
"46","France","Historical","Ect. Herbivores",-0.893543102242611,-1.35519447426332,-0.420284873763144
"47","France","Historical","Ect. Carnivores",-5.90363317493364,-6.29861595679672,-5.51149575252722
"48","France","Historical","Ect. Omnivores",-0.885949588551471,-1.32954065157583,-0.428888540791661
"49","France","Historical","Overall Biomass",-4.17197074019311,-4.24049241271095,-4.10270630027157
"50","France","SSP1-2.6","End. Herbivores",-2.49051279721239,-2.55310247983235,-2.42786781123538
"51","France","SSP1-2.6","End. Carnivores",-10.5131840495425,-10.656721952137,-10.3706431453443
"52","France","SSP1-2.6","End. Omnivores",-5.89431714755699,-6.00028466591882,-5.78596319337958
"53","France","SSP1-2.6","Ect. Herbivores",-0.0302378074120258,-0.464584733706297,0.395309227857155
"54","France","SSP1-2.6","Ect. Carnivores",-9.237411750695,-9.58162644807797,-8.8950324732164
"55","France","SSP1-2.6","Ect. Omnivores",0.0328364646143831,-0.368633587987832,0.428568094954529
"56","France","SSP1-2.6","Overall Biomass",-3.53218614563399,-3.59979771938932,-3.46649504996303
"57","France","SSP5-8.5","End. Herbivores",-3.00213981433128,-3.06091655217109,-2.94357183861689
"58","France","SSP5-8.5","End. Carnivores",-9.33656072763366,-9.47100767874644,-9.19787567373499
