"var","x","y"
1e+06,-0.75,46.25
1e+06,-0.25,46.25
1e+06,0.25,46.25
1e+06,0.75,46.25
1e+06,1.25,46.25
1e+06,1.75,46.25
1e+06,2.25,46.25
1e+06,2.75,46.25
1e+06,3.25,46.25
1e+06,3.75,46.25
1e+06,4.25,46.25
1e+06,4.75,46.25
1e+06,5.25,46.25
1e+06,5.75,46.25
1e+06,-0.75,46.75
1e+06,-0.25,46.75
1e+06,0.25,46.75
1e+06,0.75,46.75
1e+06,1.25,46.75
1e+06,1.75,46.75
1e+06,2.25,46.75
1e+06,2.75,46.75
1e+06,3.25,46.75
1e+06,3.75,46.75
1e+06,4.25,46.75
1e+06,4.75,46.75
1e+06,5.25,46.75
1e+06,5.75,46.75
1e+06,-0.75,47.25
1e+06,-0.25,47.25
1e+06,0.25,47.25
1e+06,0.75,47.25
1e+06,1.25,47.25
1e+06,1.75,47.25
1e+06,2.25,47.25
1e+06,2.75,47.25
1e+06,3.25,47.25
1e+06,3.75,47.25
1e+06,4.25,47.25
1e+06,4.75,47.25
1e+06,5.25,47.25
1e+06,5.75,47.25
1e+06,-0.75,47.75
1e+06,-0.25,47.75
1e+06,0.25,47.75
1e+06,0.75,47.75
1e+06,1.25,47.75
1e+06,1.75,47.75
1e+06,2.25,47.75
1e+06,2.75,47.75
1e+06,3.25,47.75
1e+06,3.75,47.75
1e+06,4.25,47.75
1e+06,4.75,47.75
1e+06,5.25,47.75
1e+06,5.75,47.75
1e+06,-0.75,48.25
1e+06,-0.25,48.25
1e+06,0.25,48.25
1e+06,0.75,48.25
1e+06,1.25,48.25
1e+06,1.75,48.25
1e+06,2.25,48.25
1e+06,2.75,48.25
1e+06,3.25,48.25
1e+06,3.75,48.25
1e+06,4.25,48.25
1e+06,4.75,48.25
1e+06,5.25,48.25
1e+06,5.75,48.25
1e+06,-0.75,48.75
1e+06,-0.25,48.75
1e+06,0.25,48.75
1e+06,0.75,48.75
1e+06,1.25,48.75
1e+06,1.75,48.75
1e+06,2.25,48.75
1e+06,2.75,48.75
1e+06,3.25,48.75
1e+06,3.75,48.75
1e+06,4.25,48.75
1e+06,4.75,48.75
1e+06,5.25,48.75
1e+06,5.75,48.75
