"var","x","y"
800,-0.75,46.25
800,-0.25,46.25
800,0.25,46.25
800,0.75,46.25
800,1.25,46.25
800,1.75,46.25
800,2.25,46.25
800,2.75,46.25
800,3.25,46.25
800,3.75,46.25
800,4.25,46.25
800,4.75,46.25
800,5.25,46.25
700,5.75,46.25
800,-0.75,46.75
800,-0.25,46.75
800,0.25,46.75
800,0.75,46.75
800,1.25,46.75
800,1.75,46.75
800,2.25,46.75
800,2.75,46.75
800,3.25,46.75
800,3.75,46.75
800,4.25,46.75
800,4.75,46.75
800,5.25,46.75
800,5.75,46.75
800,-0.75,47.25
800,-0.25,47.25
800,0.25,47.25
800,0.75,47.25
800,1.25,47.25
800,1.75,47.25
800,2.25,47.25
800,2.75,47.25
800,3.25,47.25
800,3.75,47.25
800,4.25,47.25
800,4.75,47.25
800,5.25,47.25
800,5.75,47.25
300,-0.75,47.75
800,-0.25,47.75
800,0.25,47.75
800,0.75,47.75
800,1.25,47.75
800,1.75,47.75
800,2.25,47.75
800,2.75,47.75
800,3.25,47.75
800,3.75,47.75
800,4.25,47.75
800,4.75,47.75
800,5.25,47.75
800,5.75,47.75
800,-0.75,48.25
800,-0.25,48.25
800,0.25,48.25
800,0.75,48.25
800,1.25,48.25
700,1.75,48.25
700,2.25,48.25
700,2.75,48.25
800,3.25,48.25
800,3.75,48.25
800,4.25,48.25
800,4.75,48.25
800,5.25,48.25
800,5.75,48.25
300,-0.75,48.75
800,-0.25,48.75
800,0.25,48.75
800,0.75,48.75
800,1.25,48.75
800,1.75,48.75
800,2.25,48.75
700,2.75,48.75
800,3.25,48.75
700,3.75,48.75
700,4.25,48.75
800,4.75,48.75
800,5.25,48.75
800,5.75,48.75
