"var","x","y"
1,-0.75,46.25
1,-0.25,46.25
1,0.25,46.25
1,0.75,46.25
1,1.25,46.25
1,1.75,46.25
1,2.25,46.25
1,2.75,46.25
1,3.25,46.25
1,3.75,46.25
1,4.25,46.25
1,4.75,46.25
1,5.25,46.25
1,5.75,46.25
1,-0.75,46.75
1,-0.25,46.75
1,0.25,46.75
1,0.75,46.75
1,1.25,46.75
1,1.75,46.75
1,2.25,46.75
1,2.75,46.75
1,3.25,46.75
1,3.75,46.75
1,4.25,46.75
1,4.75,46.75
1,5.25,46.75
1,5.75,46.75
1,-0.75,47.25
1,-0.25,47.25
1,0.25,47.25
1,0.75,47.25
1,1.25,47.25
1,1.75,47.25
1,2.25,47.25
1,2.75,47.25
1,3.25,47.25
1,3.75,47.25
1,4.25,47.25
1,4.75,47.25
1,5.25,47.25
1,5.75,47.25
1,-0.75,47.75
1,-0.25,47.75
1,0.25,47.75
1,0.75,47.75
1,1.25,47.75
1,1.75,47.75
1,2.25,47.75
1,2.75,47.75
1,3.25,47.75
1,3.75,47.75
1,4.25,47.75
1,4.75,47.75
1,5.25,47.75
1,5.75,47.75
1,-0.75,48.25
1,-0.25,48.25
1,0.25,48.25
1,0.75,48.25
1,1.25,48.25
1,1.75,48.25
1,2.25,48.25
1,2.75,48.25
1,3.25,48.25
1,3.75,48.25
1,4.25,48.25
1,4.75,48.25
1,5.25,48.25
1,5.75,48.25
1,-0.75,48.75
1,-0.25,48.75
1,0.25,48.75
1,0.75,48.75
1,1.25,48.75
1,1.75,48.75
1,2.25,48.75
1,2.75,48.75
1,3.25,48.75
1,3.75,48.75
1,4.25,48.75
1,4.75,48.75
1,5.25,48.75
1,5.75,48.75
