GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,2142.92,2,1,800,506.04,9.50164,19.6295,0,50.3885,1.45079,50000,200000,1e+06,500000,761.292,0.10808,1,12.4374,5.1072,0.00255976,79.4245,694.539,0,0,0
1,0,2,0,1,2142.92,2,1,800,410.618,10.8328,19.3246,0,50.7803,1.27362,50000,200000,1e+06,500000,753.425,0.0959371,0,11.9854,5.22224,0.00235401,79.3618,682.235,0,0,0
2,0,2,0,2,2142.92,2,1,800,400.822,11.6459,19.1279,0,52.4066,1.5689,50000,200000,1e+06,500000,759.957,0.114364,1,11.5708,5.32435,0.00213105,79.2342,670.513,0,0,0
3,0,2,0,3,2142.92,2,1,800,292.092,11.9443,19.1607,0,55.8,2.10039,50000,200000,1e+06,500000,783.377,0.109167,1,11.4958,5.40551,0.00199712,79.9482,671.984,0,0,0
4,0,2,0,4,2142.92,2,1,800,244.6,12,18.9,0,63.4541,3.81299,50000,200000,1e+06,500000,840.997,0.117223,1,11.1,5.50304,0.00183938,80.6241,666.455,0,0.242827,0
5,0,2,0,5,2142.92,2,1,800,189.751,11.9918,18.3475,0,70.2492,3.90158,50000,200000,1e+06,500000,858.166,0.132186,1,10.5393,5.57393,0.00177776,79.7164,650.91,0,0.378812,0
6,0,2,0,6,2142.92,2,1,800,212.844,12.0197,18.1934,0,73.8066,3.75394,50000,200000,1e+06,500000,836.657,0.122763,1,10.3012,5.64517,0.00168685,79.7867,644.755,0,0.388223,0
7,0,2,0,7,2142.92,2,1,800,179.918,12.118,18.2246,0,76.2869,3.16339,50000,200000,1e+06,500000,798.923,0.137245,1,10.2758,5.68479,0.00162606,80.2676,645.569,0,0.392331,0
8,0,2,0,8,2142.92,2,1,800,257.657,12.5246,18.5328,0,74.0607,1.98228,50000,200000,1e+06,500000,770.559,0.132517,1,10.6234,5.69979,0.00163211,81.4916,658.861,0,0.388658,0
9,0,2,0,9,2142.92,2,1,800,210.293,12.141,18.5377,0,77.677,3.6063,50000,200000,1e+06,500000,815.441,0.125833,1,10.4411,5.84274,0.00144493,81.8854,655.743,0,0.390474,0
10,0,2,0,10,2142.92,2,1,800,179.862,11.4754,18.6066,0,82.641,4.99409,50000,200000,1e+06,500000,867.32,0.143504,1,10.2652,6.07166,0.00122188,82.7178,653.169,0,0.388658,0
11,0,2,0,11,2142.92,2,1,800,287.163,11.0803,19.2656,0,82.6361,2.15945,50000,200000,1e+06,500000,874.107,0.163756,1,10.7149,6.25887,0.00105442,85.1144,672.481,0,0.372596,0
12,0,2,0,12,2142.92,2,1,800,272.625,11.2902,19.5393,0,84.9721,4.22638,50000,200000,1e+06,500000,866.697,0.156327,1,10.9817,6.30738,0.00102115,85.8486,682.128,0,0.366225,0
13,0,2,0,13,2142.92,2,1,700,211.818,11.0951,16.7426,0.00672131,106.554,4.01968,50000,200000,1e+06,500000,1086.35,0.156547,1,8.4235,6.17405,0.001182,75.3443,583.321,0.000216816,0.472165,0
14,0,2,1,0,2123.55,2,1,800,451.335,10.2131,18.882,0,52.6131,1.62795,50000,200000,1e+06,500000,764.73,0.109915,1,11.6469,5.10546,0.00254107,77.3398,668.317,0,0,0
15,0,2,1,1,2123.55,2,1,800,501.037,11.1475,18.9131,0,49.9672,1.30315,50000,200000,1e+06,500000,727.202,0.0979435,0,11.5788,5.21045,0.00238165,77.5226,664.53,0,0,0
16,0,2,1,2,2123.55,2,1,800,525.308,11.8656,18.9557,0,48.4852,1.27362,50000,200000,1e+06,500000,701.492,0.108212,1,11.419,5.30824,0.00215108,77.5656,658.2,0,0,0
17,0,2,1,3,2123.55,2,1,800,381.067,11.9689,19.2738,0,50.2639,1.74606,50000,200000,1e+06,500000,699.339,0.124073,1,11.6552,5.41998,0.00200852,79.2638,668.537,0,0,0
18,0,2,1,4,2123.55,2,1,800,360.952,12.0279,19.218,0,53.6443,2.07087,50000,200000,1e+06,500000,714.864,0.118749,1,11.5516,5.48897,0.00192365,79.8056,669.357,0,0,0
19,0,2,1,5,2123.55,2,1,800,419.312,11.9738,19.0557,0,59.7393,1.62795,50000,200000,1e+06,500000,741.369,0.122628,1,11.3175,5.56527,0.00182142,80.5822,668.999,0,0.237709,0
20,0,2,1,6,2123.55,2,1,800,371.393,11.8951,19.2098,0,62.5934,1.77559,50000,200000,1e+06,500000,736.523,0.118233,1,11.2955,5.64981,0.00166043,81.912,672.598,0,0.242372,0
