GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,80391.8,916456,0,0,0
0,0,12061.6,23617.2,0,0,0
0,0,163944,1.54454e+09,0,0,0
0,0,74093.5,1.41946e+09,0,0,0
0,0,3311.39,2.25279e+08,0,0,0
0,0,11800.6,1.76213e+06,0,0,0
0,0,74022.8,5.05567e+08,0,0,0
0,0,13136.6,1.91605e+07,0,0,0
0,0,12228.1,1.57039e+06,0,0,0
0,0,18325.6,6.19104e+08,0,0,0
0,0,12133.6,333226,0,0,0
0,0,80330.9,5.65713e+07,0,0,0
0,0,19241.2,1.4323e+08,0,0,0
0,0,5786.91,1.50991e+08,0,0,0
0,0,347.198,2826.83,0,0,0
0,0,84182.7,7.13533e+09,0,0,0
0,0,3586.39,0,0,0,0
0,0,80391.8,0,0,0,0
0,0,356.404,0,0,0,0
0,0,12370.5,0,0,0,0
0,0,11115.6,0,0,0,0
0,0,166891,0,0,0,0
0,0,33310.1,7.28971e+06,0,0,0
0,2,83298.3,1.97143e+08,1.4462e+07,7.36897e+06,433501
0,2,43978.7,1.10712e+07,2.06527e+06,272466,179609
0,2,5531.11,1.30667e+09,3.8849e+07,7.03469e+07,2.51648e+07
0,2,23794.9,5.19095e+08,1.06202e+07,2.42739e+07,8.72177e+06
0,3,275.717,0,0,0,0
0,3,41.9647,0,0,0,0
0,3,5.2226,0,0,0,0
0,3,4.90367,0,0,0,0
0,3,352.003,0,0,0,0
0,5,727.56,0,0,0,0
0,6,471.669,0,0,0,0
0,6,2839.3,0,0,0,0
0,6,1816.95,0,0,0,0
0,6,959.877,0,0,0,0
0,6,39.2596,0,0,0,0
0,6,295.568,0,0,0,0
0,6,148.878,0,0,0,0
0,6,482.7,0,0,0,0
0,6,597.599,0,0,0,0
0,6,174.092,0,0,0,0
0,6,959.877,0,0,0,0
0,6,150.607,0,0,0,0
0,6,400.034,0,0,0,0
0,6,575.595,0,0,0,0
0,6,953.55,0,0,0,0
0,6,40.5183,0,0,0,0
0,6,164.254,0,0,0,0
0,6,41.1613,0,0,0,0
0,6,295.568,0,0,0,0
0,6,471.088,0,0,0,0
0,6,137.325,0,0,0,0
0,6,1028.2,0,0,0,0
0,6,23459.8,0,0,0,0
0,6,1056.54,0,0,0,0
0,6,20797.9,0,0,0,0
0,6,1856.74,0,0,0,0
0,6,947.77,0,0,0,0
0,6,40.4865,0,0,0,0
0,6,146.734,0,0,0,0
0,6,133.772,0,0,0,0
0,6,443.184,0,0,0,0
0,7,91.7563,0,0,0,0
0,7,16795.2,0,0,0,0
0,7,5068.27,0,0,0,0
0,7,431.764,0,0,0,0
0,7,1127.54,0,0,0,0
0,7,1417.08,0,0,0,0
0,7,6805.81,0,0,0,0
0,7,95002.9,0,0,0,0
0,7,1398.37,0,0,0,0
0,7,1028.63,0,0,0,0
0,7,6974.1,0,0,0,0
0,7,101.337,0,0,0,0
0,7,4108.66,0,0,0,0
0,7,58517.2,0,0,0,0
0,7,6845.03,0,0,0,0
0,7,22499.8,0,0,0,0
0,7,45191.9,0,0,0,0
0,7,57118.8,0,0,0,0
0,7,88.2024,0,0,0,0
0,7,1417.08,0,0,0,0
