Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,3.43507e+09,2.13441e+08,1.11798e+09,1.6658e+07,2.1322e+06,9.16856e+06,2.7326e+08,3.69074e+08,1.56167e+08
2, 1,2.91104e+09,1.95432e+08,1.03246e+09,1.4687e+07,1.8609e+06,8.10452e+06,2.42047e+08,3.28762e+08,1.38959e+08
3, 1,2.57348e+09,1.72266e+08,9.27002e+08,1.28886e+07,1.68123e+06,7.20399e+06,2.16808e+08,2.95245e+08,1.25462e+08
4, 1,2.51733e+09,1.69217e+08,8.76742e+08,1.11557e+07,1.54298e+06,6.47087e+06,1.98332e+08,2.70354e+08,1.15065e+08
5, 1,2.43542e+09,1.2053e+08,8.07334e+08,9.40491e+06,1.6714e+06,6.39001e+06,2.11475e+08,2.80209e+08,1.23669e+08
6, 1,2.5241e+09,1.05203e+08,7.90078e+08,1.23465e+07,2.37368e+06,8.43697e+06,2.73757e+08,3.19214e+08,1.57751e+08
7, 1,2.61412e+09,8.35785e+07,7.91653e+08,1.47908e+07,3.10474e+06,1.00849e+07,3.11223e+08,3.44656e+08,1.81842e+08
8, 1,2.74717e+09,6.16248e+07,7.96913e+08,1.72306e+07,3.26349e+06,1.14099e+07,3.6022e+08,3.87709e+08,2.12161e+08
9, 1,2.84623e+09,5.9486e+07,8.22067e+08,2.02886e+07,4.4484e+06,1.28505e+07,4.17799e+08,4.5761e+08,2.49457e+08
10, 1,2.97413e+09,7.10246e+07,8.57035e+08,1.7599e+07,3.95783e+06,1.06879e+07,3.67207e+08,4.08524e+08,2.19707e+08
11, 1,3.03237e+09,6.37505e+07,8.72746e+08,1.4942e+07,3.44787e+06,9.16795e+06,3.26217e+08,3.64489e+08,1.95817e+08
12, 1,2.9442e+09,5.93787e+07,8.5438e+08,1.19904e+07,3.06755e+06,7.90655e+06,2.91331e+08,3.24251e+08,1.75004e+08
13, 2,2.71299e+09,5.45433e+07,8.0481e+08,1.08662e+07,2.78719e+06,6.79657e+06,2.60685e+08,2.88557e+08,1.56864e+08
14, 2,2.39501e+09,4.91364e+07,7.35263e+08,9.75514e+06,2.55368e+06,5.97698e+06,2.34339e+08,2.5806e+08,1.41092e+08
15, 2,2.22835e+09,4.60819e+07,6.74637e+08,8.6225e+06,2.34621e+06,5.36835e+06,2.12999e+08,2.34774e+08,1.2819e+08
16, 2,2.25775e+09,4.67045e+07,6.40244e+08,7.38491e+06,2.09892e+06,4.79228e+06,1.95696e+08,2.15985e+08,1.17965e+08
17, 2,2.31809e+09,3.8508e+07,6.15392e+08,6.87667e+06,2.23768e+06,5.46562e+06,2.16592e+08,2.23807e+08,1.30111e+08
18, 2,2.51187e+09,3.74151e+07,6.08628e+08,9.22615e+06,2.62924e+06,8.14581e+06,2.8945e+08,2.60723e+08,1.69226e+08
19, 2,2.7094e+09,3.97883e+07,6.25651e+08,1.05838e+07,2.81473e+06,1.02514e+07,3.40815e+08,2.94583e+08,1.97174e+08
20, 2,2.91021e+09,4.1273e+07,6.53792e+08,1.28164e+07,3.4313e+06,1.25002e+07,4.04694e+08,3.42199e+08,2.33081e+08
21, 2,3.06122e+09,5.24631e+07,6.88145e+08,1.44389e+07,4.36906e+06,1.49527e+07,4.80964e+08,4.19201e+08,2.81044e+08
22, 2,3.26266e+09,5.48493e+07,7.32917e+08,1.25415e+07,3.89447e+06,1.26234e+07,4.25508e+08,3.69979e+08,2.49002e+08
23, 2,3.35438e+09,5.65496e+07,7.67105e+08,1.11661e+07,3.49378e+06,1.10253e+07,3.79635e+08,3.30799e+08,2.21937e+08
24, 2,3.24124e+09,5.75604e+07,7.54219e+08,1.00177e+07,3.15688e+06,9.74638e+06,3.39836e+08,2.97083e+08,1.98713e+08
25, 3,2.94146e+09,5.86582e+07,7.33405e+08,8.95534e+06,2.86092e+06,8.69065e+06,3.04114e+08,2.6732e+08,1.78663e+08
26, 3,2.52218e+09,5.94367e+07,6.85831e+08,7.98858e+06,2.60634e+06,7.78844e+06,2.7311e+08,2.40324e+08,1.61543e+08
27, 3,2.30836e+09,4.78562e+07,6.43701e+08,7.11493e+06,2.38744e+06,6.99407e+06,2.4749e+08,2.19192e+08,1.47233e+08
28, 3,2.30937e+09,2.9303e+07,6.25186e+08,6.25285e+06,2.19377e+06,6.18962e+06,2.27142e+08,2.02488e+08,1.35748e+08
29, 3,2.37629e+09,1.513e+07,6.04241e+08,7.00199e+06,2.25639e+06,6.61412e+06,2.46336e+08,2.12593e+08,1.48445e+08
30, 3,2.54324e+09,1.61281e+07,6.04966e+08,1.01719e+07,2.78817e+06,9.23638e+06,3.2284e+08,2.5381e+08,1.90719e+08
31, 3,2.75757e+09,1.53823e+07,6.14191e+08,1.16265e+07,3.63866e+06,1.12311e+07,3.78635e+08,2.87537e+08,2.22905e+08
32, 3,2.96901e+09,1.77856e+07,6.28728e+08,1.32125e+07,5.08012e+06,1.37473e+07,4.44629e+08,3.38552e+08,2.62254e+08
33, 3,3.1084e+09,2.25757e+07,6.47388e+08,1.45081e+07,6.70323e+06,1.48797e+07,5.22331e+08,4.24648e+08,3.17444e+08
34, 3,3.31815e+09,2.76072e+07,6.8465e+08,1.30914e+07,5.89051e+06,1.29438e+07,4.63963e+08,3.82469e+08,2.84461e+08
35, 3,3.40388e+09,3.43778e+07,7.1712e+08,1.18626e+07,5.07605e+06,1.12674e+07,4.13779e+08,3.45737e+08,2.55989e+08
36, 3,3.29894e+09,2.91004e+07,7.21714e+08,1.07732e+07,4.3576e+06,9.75964e+06,3.65565e+08,3.12852e+08,2.29186e+08
