FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,0,0
0,1,10,1.04862e+08,1.21349e+08
0,10,100,4.64397e+08,1.33345e+09
0,100,1000,2.83563e+07,2.65954e+08
0,1000,10000,46320.7,9.69545e+06
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,0,0
2,1,10,1.8718e+06,4.45953e+06
2,10,100,5.38694e+07,2.03563e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,3.27762e+09,1.25739e+06
3,0.01,0.1,3.98455e+09,4.75671e+06
3,0.1,1,1.99043e+08,1.8722e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,3.35426e+06,120045
4,0.1,1,2.06537e+07,635384
4,1,10,741364,728466
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.22106e+08,131858
5,0.01,0.1,1.21216e+09,4.11913e+06
5,0.1,1,2.19758e+08,2.08333e+06
5,1,10,2.81223e+06,768169
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.18834e+09,2.03362e+07
6,0.1,1,6.29622e+09,1.42795e+08
6,1,10,1.41946e+09,2.18448e+08
6,10,100,4.61281e+07,5.28716e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,2.33982e+07,368829
7,0.1,1,2.9667e+08,2.08131e+07
7,1,10,4.59262e+08,1.29344e+08
7,10,100,7.25968e+07,1.19978e+08
7,100,1000,1.76542e+06,7.68602e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.85329e+09,1.34856e+07
8,0.1,1,3.00909e+09,9.70464e+07
8,1,10,8.50976e+08,1.62424e+08
8,10,100,8.52845e+06,7.53139e+06
8,100,1000,0,0
8,1000,10000,0,0
