"var","x","y"
50000,-0.75,46.25
50000,-0.25,46.25
50000,0.25,46.25
50000,0.75,46.25
50000,1.25,46.25
50000,1.75,46.25
50000,2.25,46.25
50000,2.75,46.25
50000,3.25,46.25
50000,3.75,46.25
50000,4.25,46.25
50000,4.75,46.25
50000,5.25,46.25
50000,5.75,46.25
50000,-0.75,46.75
50000,-0.25,46.75
50000,0.25,46.75
50000,0.75,46.75
50000,1.25,46.75
50000,1.75,46.75
50000,2.25,46.75
50000,2.75,46.75
50000,3.25,46.75
50000,3.75,46.75
50000,4.25,46.75
50000,4.75,46.75
50000,5.25,46.75
50000,5.75,46.75
50000,-0.75,47.25
50000,-0.25,47.25
50000,0.25,47.25
50000,0.75,47.25
50000,1.25,47.25
50000,1.75,47.25
50000,2.25,47.25
50000,2.75,47.25
50000,3.25,47.25
50000,3.75,47.25
50000,4.25,47.25
50000,4.75,47.25
50000,5.25,47.25
50000,5.75,47.25
50000,-0.75,47.75
50000,-0.25,47.75
50000,0.25,47.75
50000,0.75,47.75
50000,1.25,47.75
50000,1.75,47.75
50000,2.25,47.75
50000,2.75,47.75
50000,3.25,47.75
50000,3.75,47.75
50000,4.25,47.75
50000,4.75,47.75
50000,5.25,47.75
50000,5.75,47.75
50000,-0.75,48.25
50000,-0.25,48.25
50000,0.25,48.25
50000,0.75,48.25
50000,1.25,48.25
50000,1.75,48.25
50000,2.25,48.25
50000,2.75,48.25
50000,3.25,48.25
50000,3.75,48.25
50000,4.25,48.25
50000,4.75,48.25
50000,5.25,48.25
50000,5.75,48.25
50000,-0.75,48.75
50000,-0.25,48.75
50000,0.25,48.75
50000,0.75,48.75
50000,1.25,48.75
50000,1.75,48.75
50000,2.25,48.75
50000,2.75,48.75
50000,3.25,48.75
50000,3.75,48.75
50000,4.25,48.75
50000,4.75,48.75
50000,5.25,48.75
50000,5.75,48.75
