"var","x","y"
6.75245904922485,-0.75,46.25
7.29344272613525,-0.25,46.25
7.6213116645813,0.25,46.25
7.81967210769653,0.75,46.25
7.81147527694702,1.25,46.25
7.80983591079712,1.75,46.25
7.90163946151733,2.25,46.25
8.17704963684082,2.75,46.25
8.7475414276123,3.25,46.25
8.33114719390869,3.75,46.25
7.51311492919922,4.25,46.25
6.80983591079712,4.75,46.25
6.94262313842773,5.25,46.25
6.52622938156128,5.75,46.25
6.77540969848633,-0.75,46.75
7.20163917541504,-0.25,46.75
7.52459001541138,0.25,46.75
7.6196722984314,0.75,46.75
7.51803302764893,1.25,46.75
7.60819673538208,1.75,46.75
7.69180345535278,2.25,46.75
7.96557378768921,2.75,46.75
8.2459020614624,3.25,46.75
8.01475429534912,3.75,46.75
7.30655717849731,4.25,46.75
7.0032787322998,4.75,46.75
7.11311483383179,5.25,46.75
6.88196706771851,5.75,46.75
6.97868871688843,-0.75,47.25
7.19344282150269,-0.25,47.25
7.18852472305298,0.25,47.25
6.98524570465088,0.75,47.25
7.28688526153564,1.25,47.25
7.29344272613525,1.75,47.25
7.26721286773682,2.25,47.25
7.35081958770752,2.75,47.25
7.52786874771118,3.25,47.25
7.39836072921753,3.75,47.25
7.10163927078247,4.25,47.25
7.08688545227051,4.75,47.25
7.09016370773315,5.25,47.25
7.12622928619385,5.75,47.25
6.95409822463989,-0.75,47.75
7.15573787689209,-0.25,47.75
7.07377052307129,0.25,47.75
6.76229524612427,0.75,47.75
6.97213125228882,1.25,47.75
7.17540979385376,1.75,47.75
7.06557369232178,2.25,47.75
7.0442624092102,2.75,47.75
7.11147546768188,3.25,47.75
7.18360662460327,3.75,47.75
7.07049179077148,4.25,47.75
7.06393432617188,4.75,47.75
6.95409822463989,5.25,47.75
7.16065549850464,5.75,47.75
6.73770475387573,-0.75,48.25
6.74426221847534,-0.25,48.25
6.75409841537476,0.25,48.25
6.5426230430603,0.75,48.25
6.55901622772217,1.25,48.25
6.65573787689209,1.75,48.25
6.4622950553894,2.25,48.25
6.64098358154297,2.75,48.25
6.79508209228516,3.25,48.25
6.9557375907898,3.75,48.25
7.22622966766357,4.25,48.25
7.22459030151367,4.75,48.25
7.01311492919922,5.25,48.25
7.0016393661499,5.75,48.25
6.10491800308228,-0.75,48.75
6.421311378479,-0.25,48.75
6.21967220306396,0.25,48.75
6.12458992004395,0.75,48.75
6.02459001541138,1.25,48.75
5.9573769569397,1.75,48.75
5.76721334457397,2.25,48.75
6.13606548309326,2.75,48.75
6.48688507080078,3.25,48.75
6.84590148925781,3.75,48.75
7.10819673538208,4.25,48.75
7.38360643386841,4.75,48.75
7.16393423080444,5.25,48.75
6.84590148925781,5.75,48.75
