Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
9012.92,2,100,H,Ecto,1.28036e+06
9012.92,2,1000,H,Ecto,7.08355e+06
9012.92,2,1000,H,Endo,93197.8
9012.92,2,10000,H,Endo,6.67587e+06
9012.92,2,100,O,Ecto,1.19731e+06
9012.92,2,1000,O,Ecto,1.08213e+06
9012.92,2,1000,O,Endo,7.40873e+06
9012.92,2,10000,O,Endo,8765.58
9012.92,2,100,C,Ecto,908005
9012.92,2,1000,C,Ecto,102304
64142.2,2,100,H,Ecto,84368.7
64142.2,2,1000,H,Ecto,9.3911e+06
64142.2,2,1000,H,Endo,2.73516e+07
64142.2,2,10000,H,Endo,9.30732e+07
64142.2,2,100,O,Ecto,4.9808
64142.2,2,1000,O,Ecto,1.80162e+06
64142.2,2,1000,O,Endo,2.13974e+06
64142.2,2,10000,O,Endo,1.06445e+08
64142.2,2,100,C,Ecto,2314.56
64142.2,2,1000,C,Ecto,1.09693e+07
64142.2,2,10000,C,Ecto,125955
18248.7,2,100,H,Ecto,323296
18248.7,2,1000,H,Ecto,3.71515e+06
18248.7,2,1000,H,Endo,483502
18248.7,2,10000,H,Endo,1.602e+06
18248.7,2,100,O,Ecto,119596
18248.7,2,1000,O,Ecto,443186
18248.7,2,1000,O,Endo,3.35529e+06
18248.7,2,10000,O,Endo,255169
18248.7,2,100,C,Ecto,122241
18248.7,2,1000,C,Ecto,304159
41822.3,2,100,H,Ecto,691.973
41822.3,2,1000,H,Ecto,75252.5
41822.3,2,1000,H,Endo,187489
41822.3,2,10000,H,Endo,457976
41822.3,2,100,O,Ecto,0.0119162
41822.3,2,1000,O,Ecto,12639.5
41822.3,2,1000,O,Endo,17874.3
41822.3,2,10000,O,Endo,570488
41822.3,2,100,C,Ecto,23.7353
41822.3,2,1000,C,Ecto,73882.9
41822.3,2,10000,C,Ecto,601.32
33859.4,2,100,H,Ecto,1.49113e+07
33859.4,2,1000,H,Ecto,1.66102e+07
33859.4,2,1000,H,Endo,381262
33859.4,2,10000,H,Endo,2.20111e+08
33859.4,2,100,O,Ecto,1.36524e+07
33859.4,2,1000,O,Ecto,3.11241e+06
33859.4,2,1000,O,Endo,2.40945e+07
33859.4,2,100,C,Ecto,8.94867e+06
33859.4,2,1000,C,Ecto,589866
33859.4,2,10000,C,Ecto,234712
4099.27,2,100,H,Ecto,1.07383e+06
4099.27,2,1000,H,Ecto,765688
4099.27,2,1000,H,Endo,12916.1
4099.27,2,10000,H,Endo,5.73874e+06
4099.27,2,10,O,Ecto,2117.09
4099.27,2,100,O,Ecto,606460
4099.27,2,1000,O,Ecto,187583
4099.27,2,1000,O,Endo,761265
4099.27,2,100,C,Ecto,352798
4099.27,2,1000,C,Ecto,79242.6
4099.27,2,10000,C,Ecto,26610.9
18248.7,2,100,H,Ecto,9.2179e+06
18248.7,2,1000,H,Ecto,1.00109e+07
18248.7,2,1000,H,Endo,6476.76
