GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,8.89981e+10
0,1,3.41065e+11
1,0,1.09879e+11
1,1,4.7964e+11
2,0,1.10065e+11
2,1,4.75495e+11
3,0,1.06675e+11
3,1,4.39865e+11
4,0,1.07181e+11
4,1,3.79179e+11
5,0,1.12277e+11
5,1,4.74771e+11
6,0,1.09994e+11
6,1,4.16293e+11
7,0,1.07265e+11
7,1,3.73872e+11
8,0,1.11539e+11
8,1,3.6438e+11
9,0,1.09016e+11
9,1,3.77493e+11
10,0,1.13983e+11
10,1,3.91467e+11
11,0,1.14967e+11
11,1,3.7241e+11
12,0,1.15388e+11
12,1,3.98378e+11
13,0,1.14508e+11
13,1,4.51206e+11
14,0,1.06579e+11
14,1,3.81415e+11
15,0,9.32035e+10
15,1,3.77759e+11
16,0,6.22058e+10
16,1,3.06885e+11
17,0,1.07472e+11
17,1,4.65241e+11
18,0,1.0076e+11
18,1,3.66088e+11
19,0,1.05088e+11
19,1,3.99441e+11
20,0,1.02233e+11
20,1,3.39227e+11
21,0,1.06684e+11
21,1,4.01374e+11
22,0,9.59751e+10
22,1,2.87626e+11
23,0,1.05024e+11
23,1,3.85923e+11
24,0,1.09313e+11
24,1,3.62569e+11
25,0,1.14073e+11
25,1,4.318e+11
26,0,1.12344e+11
26,1,3.91257e+11
27,0,1.10811e+11
27,1,3.28524e+11
28,0,3.07287e+10
28,1,1.59995e+11
29,0,2.63244e+10
29,1,1.81509e+11
30,0,9.79258e+10
30,1,3.47971e+11
31,0,9.59985e+10
31,1,2.73822e+11
32,0,1.00111e+11
32,1,4.00111e+11
33,0,1.01455e+11
33,1,3.81638e+11
34,0,9.78233e+10
34,1,3.46197e+11
35,0,1.03586e+11
35,1,3.18158e+11
36,0,1.02498e+11
36,1,3.8014e+11
37,0,1.0518e+11
37,1,3.79109e+11
38,0,1.09611e+11
38,1,3.75588e+11
39,0,1.05636e+11
39,1,3.35881e+11
40,0,1.14785e+11
40,1,3.98071e+11
41,0,1.18728e+11
41,1,4.10855e+11
42,0,5.48088e+09
42,1,4.01119e+10
43,0,1.01218e+11
43,1,4.0255e+11
44,0,9.365e+10
44,1,2.81435e+11
45,0,9.36919e+10
45,1,3.57938e+11
46,0,7.6596e+10
46,1,2.75431e+11
47,0,9.27851e+10
47,1,2.9908e+11
48,0,9.85814e+10
48,1,3.6176e+11
49,0,9.95314e+10
49,1,3.2758e+11
50,0,9.77211e+10
50,1,3.39877e+11
51,0,1.04799e+11
51,1,3.8977e+11
52,0,1.04992e+11
52,1,3.15161e+11
53,0,1.00995e+11
53,1,2.91086e+11
54,0,1.09982e+11
54,1,3.41148e+11
55,0,1.12379e+11
55,1,3.59465e+11
56,0,1.00618e+11
56,1,3.63167e+11
57,0,1.04365e+11
57,1,3.85539e+11
58,0,1.00774e+11
58,1,3.20309e+11
59,0,9.90663e+10
59,1,3.19147e+11
60,0,9.10915e+09
60,1,6.69973e+10
61,0,4.5146e+10
61,1,2.33942e+11
62,0,4.91467e+10
62,1,2.39515e+11
63,0,9.90274e+10
63,1,4.20576e+11
64,0,2.24376e+10
64,1,1.25248e+11
65,0,9.93159e+10
65,1,3.6525e+11
66,0,9.71119e+10
66,1,3.03934e+11
67,0,1.07753e+11
67,1,3.65532e+11
68,0,1.10282e+11
68,1,3.95707e+11
69,0,1.08474e+11
69,1,3.56883e+11
70,0,1.05759e+11
70,1,4.27055e+11
71,0,1.04374e+11
71,1,3.66181e+11
72,0,9.82688e+10
72,1,3.19298e+11
73,0,1.06736e+11
73,1,4.32634e+11
74,0,9.54101e+10
74,1,2.98658e+11
75,0,5.25896e-161
75,1,1.16357e-26
76,0,2.05041e+10
76,1,1.55121e+11
77,0,9.72628e+10
77,1,4.16215e+11
78,0,8.66302e+10
78,1,3.71961e+11
79,0,8.5783e+10
79,1,2.36125e+11
80,0,8.48098e+10
80,1,2.53619e+11
81,0,1.06505e+11
81,1,3.53293e+11
82,0,1.13411e+11
82,1,4.30505e+11
83,0,1.04547e+11
83,1,3.36229e+11
